iter	Passed	Remaining
0	137	137506
1	139	69473
2	141	47011
3	144	35995
4	146	29126
5	147	24437
6	148	21087
7	149	18572
8	151	16662
9	152	15106
10	153	13844
11	156	12877
12	159	12089
13	160	11329
14	162	10646
15	163	10060
16	164	9538
17	166	9069
18	167	8651
19	169	8309
20	173	8094
21	176	7841
22	178	7564
23	182	7420
24	184	7203
25	187	7015
26	189	6815
27	190	6610
28	191	6420
29	193	6243
30	194	6075
31	195	5918
32	196	5772
33	199	5654
34	201	5549
35	203	5445
36	205	5336
37	206	5224
38	207	5117
39	208	5015
40	210	4921
41	211	4834
42	213	4758
43	217	4729
44	219	4650
45	220	4576
46	222	4504
47	223	4438
48	226	4389
49	229	4357
50	232	4332
51	234	4273
52	236	4216
53	237	4164
54	239	4123
55	248	4197
56	250	4150
57	252	4101
58	256	4089
59	265	4153
60	267	4121
61	269	4077
62	273	4072
63	280	4100
64	282	4059
65	283	4017
66	285	3977
67	287	3938
68	295	3983
69	297	3946
70	300	3935
71	311	4014
72	316	4015
73	318	3987
74	328	4053
75	331	4027
76	334	4006
77	343	4054
78	345	4028
79	347	3991
80	352	4001
81	357	3997
82	358	3957
83	360	3926
84	362	3897
85	370	3937
86	372	3911
87	375	3887
88	376	3853
89	377	3821
90	388	3877
91	390	3851
92	391	3820
93	393	3791
94	404	3851
95	405	3822
96	414	3858
97	420	3871
98	422	3842
99	423	3814
100	425	3790
101	456	4016
102	457	3986
103	459	3954
104	461	3929
105	464	3916
106	466	3892
107	468	3868
108	469	3839
109	470	3809
110	472	3781
111	473	3756
112	476	3743
113	480	3731
114	481	3705
115	482	3678
116	483	3650
117	484	3624
118	486	3603
119	487	3578
120	489	3555
121	494	3557
122	496	3536
123	503	3559
124	507	3555
125	510	3540
126	511	3517
127	513	3496
128	514	3476
129	516	3455
130	517	3434
131	519	3414
132	521	3400
133	524	3389
134	526	3371
135	527	3353
136	529	3334
137	531	3320
138	533	3302
139	534	3284
140	536	3269
141	538	3255
142	540	3241
143	542	3226
144	544	3209
145	545	3193
146	547	3176
147	549	3161
148	550	3146
149	555	3146
150	556	3130
151	558	3115
152	561	3109
153	563	3094
154	573	3128
155	596	3225
156	608	3265
157	610	3251
158	612	3238
159	628	3302
160	629	3282
161	636	3291
162	638	3278
163	640	3264
164	642	3249
165	643	3233
166	653	3258
167	658	3260
168	686	3375
169	688	3362
170	693	3364
171	696	3352
172	701	3354
173	703	3337
174	704	3320
175	705	3303
176	706	3285
177	708	3272
178	709	3256
179	714	3254
180	715	3238
181	717	3222
182	718	3207
183	720	3193
184	721	3177
185	722	3161
186	723	3146
187	725	3133
188	728	3127
189	730	3112
190	731	3097
191	741	3121
192	743	3108
193	744	3094
194	748	3091
195	751	3084
196	754	3073
197	760	3078
198	769	3099
199	771	3085
200	776	3087
201	787	3109
202	788	3095
203	791	3088
204	793	3077
205	794	3064
206	796	3050
207	797	3036
208	799	3024
209	800	3010
210	801	2996
211	802	2983
212	804	2972
213	806	2962
214	807	2949
215	809	2936
216	810	2923
217	811	2910
218	812	2898
219	814	2886
220	815	2874
221	816	2861
222	818	2850
223	819	2839
224	821	2828
225	822	2816
226	823	2805
227	824	2793
228	826	2781
229	827	2769
230	828	2756
231	829	2745
232	830	2734
233	832	2723
234	833	2712
235	835	2705
236	837	2696
237	838	2685
238	840	2675
239	842	2666
240	843	2655
241	846	2650
242	855	2666
243	857	2656
244	859	2649
245	861	2641
246	863	2631
247	864	2620
248	866	2613
249	869	2608
250	870	2598
251	871	2588
252	873	2577
253	874	2568
254	875	2558
255	877	2549
256	878	2540
257	880	2533
258	882	2525
259	884	2516
260	885	2507
261	886	2497
262	887	2487
263	888	2478
264	890	2468
265	891	2460
266	898	2465
267	908	2482
268	912	2479
269	914	2472
270	917	2469
271	920	2464
272	922	2455
273	923	2447
274	925	2439
275	927	2433
276	929	2424
277	930	2416
278	932	2409
279	933	2401
280	935	2394
281	937	2387
282	938	2378
283	940	2370
284	942	2364
285	943	2355
286	944	2346
287	945	2337
288	946	2328
289	947	2320
290	949	2312
291	950	2304
292	951	2296
293	952	2288
294	954	2280
295	957	2276
296	958	2268
297	959	2260
298	961	2253
299	962	2245
300	963	2238
301	964	2230
302	966	2222
303	967	2215
304	968	2207
305	970	2200
306	971	2193
307	973	2187
308	974	2179
309	975	2171
310	976	2163
311	977	2155
312	978	2148
313	980	2141
314	981	2133
315	982	2127
316	984	2121
317	988	2120
318	994	2123
319	996	2117
320	997	2110
321	1001	2108
322	1002	2101
323	1004	2095
324	1005	2088
325	1006	2081
326	1007	2073
327	1008	2066
328	1009	2059
329	1010	2052
330	1012	2046
331	1014	2040
332	1019	2041
333	1020	2035
334	1021	2028
335	1023	2021
336	1024	2015
337	1025	2008
338	1026	2001
339	1027	1995
340	1029	1988
341	1032	1986
342	1033	1980
343	1035	1973
344	1036	1967
345	1037	1961
346	1038	1955
347	1040	1948
348	1041	1943
349	1042	1936
350	1043	1930
351	1047	1927
352	1048	1922
353	1049	1915
354	1050	1909
355	1052	1903
356	1053	1897
357	1054	1891
358	1055	1885
359	1056	1878
360	1057	1872
361	1058	1865
362	1060	1861
363	1062	1856
364	1063	1850
365	1064	1843
366	1065	1837
367	1066	1831
368	1067	1825
369	1068	1819
370	1069	1814
371	1071	1808
372	1072	1802
373	1073	1796
374	1074	1791
375	1076	1786
376	1077	1781
377	1079	1775
378	1080	1770
379	1081	1764
380	1082	1758
381	1083	1752
382	1084	1747
383	1085	1741
384	1086	1736
385	1087	1730
386	1089	1725
387	1090	1720
388	1092	1715
389	1093	1710
390	1094	1704
391	1095	1699
392	1097	1694
393	1098	1689
394	1099	1683
395	1100	1678
396	1101	1672
397	1102	1667
398	1103	1662
399	1106	1660
400	1108	1655
401	1109	1650
402	1110	1644
403	1111	1639
404	1112	1634
405	1113	1629
406	1114	1624
407	1115	1618
408	1116	1613
409	1117	1608
410	1119	1603
411	1122	1602
412	1123	1597
413	1125	1593
414	1127	1589
415	1129	1585
416	1130	1580
417	1131	1575
418	1133	1571
419	1134	1567
420	1137	1564
421	1138	1559
422	1139	1554
423	1141	1550
424	1142	1545
425	1143	1541
426	1145	1536
427	1146	1532
428	1147	1527
429	1149	1523
430	1151	1520
431	1152	1515
432	1159	1517
433	1160	1513
434	1161	1508
435	1162	1504
436	1166	1502
437	1167	1497
438	1168	1493
439	1169	1488
440	1170	1484
441	1172	1479
442	1173	1475
443	1174	1471
444	1176	1466
445	1177	1462
446	1179	1459
447	1181	1455
448	1182	1451
449	1183	1446
450	1184	1442
451	1186	1438
452	1187	1433
453	1188	1429
454	1190	1425
455	1191	1421
456	1192	1417
457	1194	1413
458	1196	1410
459	1197	1406
460	1199	1401
461	1200	1397
462	1201	1393
463	1202	1389
464	1204	1385
465	1205	1381
466	1206	1377
467	1208	1373
468	1210	1370
469	1211	1366
470	1213	1362
471	1214	1358
472	1215	1354
473	1217	1350
474	1218	1346
475	1219	1342
476	1220	1338
477	1221	1334
478	1222	1330
479	1224	1326
480	1225	1322
481	1226	1318
482	1228	1314
483	1229	1310
484	1230	1306
485	1231	1302
486	1232	1298
487	1233	1294
488	1234	1290
489	1235	1285
490	1236	1281
491	1237	1277
492	1238	1274
493	1240	1270
494	1241	1266
495	1242	1262
496	1243	1258
497	1244	1254
498	1245	1250
499	1246	1246
500	1248	1243
501	1249	1239
502	1250	1235
503	1251	1231
504	1252	1227
505	1254	1225
506	1256	1222
507	1258	1218
508	1260	1215
509	1261	1212
510	1262	1208
511	1264	1204
512	1265	1201
513	1266	1197
514	1267	1193
515	1269	1190
516	1270	1187
517	1271	1183
518	1272	1179
519	1274	1176
520	1275	1172
521	1276	1168
522	1277	1164
523	1278	1161
524	1279	1157
525	1280	1154
526	1282	1150
527	1283	1147
528	1285	1144
529	1286	1140
530	1287	1137
531	1288	1133
532	1289	1130
533	1290	1126
534	1292	1123
535	1293	1119
536	1294	1115
537	1295	1112
538	1296	1108
539	1297	1105
540	1298	1102
541	1300	1099
542	1301	1095
543	1303	1092
544	1304	1088
545	1305	1085
546	1306	1082
547	1307	1078
548	1308	1075
549	1309	1071
550	1310	1068
551	1312	1064
552	1313	1061
553	1314	1058
554	1315	1055
555	1317	1051
556	1318	1048
557	1319	1044
558	1320	1041
559	1321	1038
560	1322	1034
561	1323	1031
562	1325	1028
563	1326	1025
564	1327	1022
565	1329	1019
566	1330	1016
567	1331	1013
568	1333	1010
569	1334	1006
570	1336	1003
571	1337	1000
572	1338	997
573	1340	994
574	1341	991
575	1342	988
576	1344	985
577	1345	982
578	1346	979
579	1347	976
580	1349	973
581	1350	969
582	1351	966
583	1352	963
584	1353	960
585	1354	956
586	1355	953
587	1357	950
588	1358	948
589	1359	944
590	1360	941
591	1361	938
592	1362	935
593	1363	932
594	1364	929
595	1366	925
596	1367	922
597	1368	919
598	1369	916
599	1370	913
600	1371	910
601	1373	908
602	1374	905
603	1375	902
604	1376	898
605	1377	895
606	1379	892
607	1380	889
608	1381	886
609	1382	883
610	1383	880
611	1385	878
612	1386	875
613	1388	872
614	1390	870
615	1392	868
616	1393	865
617	1394	862
618	1395	859
619	1396	856
620	1397	853
621	1398	850
622	1399	847
623	1401	844
624	1402	841
625	1404	838
626	1405	836
627	1406	833
628	1407	830
629	1408	827
630	1409	824
631	1411	821
632	1412	818
633	1413	816
634	1414	813
635	1416	810
636	1418	808
637	1419	805
638	1420	802
639	1421	799
640	1422	796
641	1423	793
642	1424	790
643	1425	788
644	1426	785
645	1427	782
646	1429	779
647	1430	777
648	1432	774
649	1434	772
650	1435	769
651	1436	766
652	1438	764
653	1439	761
654	1440	758
655	1441	756
656	1442	753
657	1444	750
658	1445	748
659	1447	745
660	1448	743
661	1450	740
662	1451	737
663	1452	735
664	1453	732
665	1454	729
666	1456	726
667	1457	724
668	1458	721
669	1460	719
670	1461	716
671	1462	714
672	1464	711
673	1465	708
674	1466	706
675	1467	703
676	1469	700
677	1470	698
678	1471	695
679	1472	692
680	1473	690
681	1474	687
682	1476	685
683	1477	682
684	1478	679
685	1479	677
686	1481	674
687	1482	672
688	1483	669
689	1484	667
690	1486	664
691	1487	661
692	1488	659
693	1489	656
694	1491	654
695	1492	651
696	1493	649
697	1494	646
698	1495	644
699	1497	641
700	1498	639
701	1499	636
702	1500	634
703	1501	631
704	1502	628
705	1504	626
706	1505	623
707	1506	621
708	1507	618
709	1508	616
710	1509	613
711	1510	611
712	1511	608
713	1513	606
714	1514	603
715	1515	600
716	1516	598
717	1517	595
718	1518	593
719	1521	591
720	1522	589
721	1524	586
722	1525	584
723	1526	582
724	1528	579
725	1529	577
726	1530	574
727	1531	572
728	1532	569
729	1534	567
730	1535	564
731	1536	562
732	1538	560
733	1539	557
734	1540	555
735	1541	552
736	1542	550
737	1543	547
738	1545	545
739	1547	543
740	1548	541
741	1550	539
742	1552	536
743	1553	534
744	1554	532
745	1555	529
746	1557	527
747	1558	524
748	1559	522
749	1560	520
750	1561	517
751	1562	515
752	1564	513
753	1565	510
754	1567	508
755	1568	506
756	1569	503
757	1570	501
758	1572	499
759	1573	496
760	1574	494
761	1575	492
762	1576	489
763	1578	487
764	1580	485
765	1581	483
766	1582	480
767	1584	478
768	1585	476
769	1586	473
770	1587	471
771	1588	469
772	1589	466
773	1591	464
774	1592	462
775	1593	460
776	1595	457
777	1596	455
778	1597	453
779	1598	450
780	1599	448
781	1600	446
782	1601	443
783	1602	441
784	1603	439
785	1604	436
786	1605	434
787	1606	432
788	1608	430
789	1609	427
790	1611	425
791	1612	423
792	1613	421
793	1614	418
794	1615	416
795	1617	414
796	1619	412
797	1620	410
798	1621	408
799	1623	405
800	1625	403
801	1626	401
802	1627	399
803	1628	397
804	1629	394
805	1631	392
806	1632	390
807	1633	388
808	1634	385
809	1635	383
810	1637	381
811	1638	379
812	1641	377
813	1642	375
814	1643	373
815	1644	370
816	1645	368
817	1646	366
818	1647	364
819	1650	362
820	1657	361
821	1659	359
822	1660	357
823	1662	355
824	1663	352
825	1664	350
826	1665	348
827	1666	346
828	1667	343
829	1669	341
830	1671	339
831	1672	337
832	1673	335
833	1674	333
834	1675	331
835	1676	328
836	1678	326
837	1680	324
838	1681	322
839	1683	320
840	1685	318
841	1687	316
842	1688	314
843	1689	312
844	1690	310
845	1691	307
846	1693	305
847	1694	303
848	1696	301
849	1698	299
850	1700	297
851	1701	295
852	1703	293
853	1704	291
854	1705	289
855	1706	287
856	1707	284
857	1709	282
858	1710	280
859	1712	278
860	1715	276
861	1716	274
862	1717	272
863	1719	270
864	1720	268
865	1721	266
866	1723	264
867	1724	262
868	1726	260
869	1727	258
870	1730	256
871	1731	254
872	1732	252
873	1733	249
874	1734	247
875	1735	245
876	1736	243
877	1738	241
878	1740	239
879	1741	237
880	1743	235
881	1745	233
882	1746	231
883	1747	229
884	1748	227
885	1749	225
886	1750	223
887	1752	221
888	1753	218
889	1755	216
890	1757	214
891	1760	213
892	1761	211
893	1762	208
894	1763	206
895	1765	204
896	1766	202
897	1768	200
898	1770	198
899	1771	196
900	1774	194
901	1775	192
902	1777	190
903	1778	188
904	1779	186
905	1780	184
906	1781	182
907	1783	180
908	1787	178
909	1792	177
910	1793	175
911	1794	173
912	1795	171
913	1796	169
914	1798	167
915	1800	165
916	1802	163
917	1804	161
918	1805	159
919	1806	157
920	1808	155
921	1809	153
922	1810	150
923	1811	149
924	1813	147
925	1815	145
926	1818	143
927	1819	141
928	1820	139
929	1822	137
930	1823	135
931	1824	133
932	1826	131
933	1827	129
934	1829	127
935	1831	125
936	1833	123
937	1834	121
938	1836	119
939	1837	117
940	1838	115
941	1840	113
942	1842	111
943	1843	109
944	1844	107
945	1846	105
946	1848	103
947	1849	101
948	1850	99
949	1852	97
